,time,I_R04_Gripper_Load,I_R01_Gripper_Load,cycle_state,matched_image_name,original_label,predicted_label
0,2023-12-11 11:51:03.918921,586,450,4,000032_1.png,NoAnomaly,NoAnomaly
1,2023-12-11 11:51:06.193291,604,464,4,000038_1.png,NoAnomaly,NoAnomaly
2,2023-12-11 11:51:07.376598,768,458,4,000041_1.png,NoAnomaly,NoAnomaly
3,2023-12-11 11:51:08.212391,583,468,4,000043_1.png,NoAnomaly,NoAnomaly
4,2023-12-11 11:51:09.809211,553,452,4,000047_1.png,NoAnomaly,NoNose
5,2023-12-11 11:51:13.349284,624,465,4,000055_1.png,NoAnomaly,NoAnomaly
6,2023-12-11 11:53:05.401981,557,407,9,000289_0.png,NoNose,NoNose
7,2023-12-11 11:53:09.627476,636,439,9,000298_0.png,NoNose,NoNose
8,2023-12-11 11:53:10.544269,528,434,9,000300_0.png,NoNose,NoNose
9,2023-12-11 11:53:12.354060,632,468,9,000304_0.png,NoNose,NoNose
10,2023-12-11 11:53:13.803753,598,454,9,000307_0.png,NoNose,NoNose
11,2023-12-11 11:55:58.969759,674,445,4,000653_1.png,NoAnomaly,NoNose
12,2023-12-11 11:56:00.879543,564,442,4,000657_1.png,NoAnomaly,NoAnomaly
13,2023-12-11 11:56:02.682688,562,435,4,000661_1.png,NoAnomaly,NoAnomaly
14,2023-12-11 11:56:05.051900,672,345,4,000666_1.png,NoAnomaly,NoAnomaly
15,2023-12-11 11:56:05.553345,618,478,4,000667_1.png,NoAnomaly,NoAnomaly
16,2023-12-11 11:56:08.417868,594,481,4,000673_1.png,NoAnomaly,NoNose
17,2023-12-11 11:57:55.898748,613,433,9,000900_0.png,NoNose,NoNose
18,2023-12-11 11:57:56.860512,643,285,9,000902_0.png,NoNose,NoNose
19,2023-12-11 11:57:58.987255,625,479,9,000906_0.png,NoNose,"NoNose,NoBody2"
20,2023-12-11 11:58:00.869371,614,350,9,000910_0.png,NoNose,NoNose
21,2023-12-11 11:58:04.239421,600,442,9,000917_0.png,NoNose,NoNose
22,2023-12-11 11:58:05.191336,637,455,9,000919_0.png,NoNose,NoNose
23,2023-12-11 11:58:05.633023,591,398,9,000920_0.png,NoNose,"NoNose,NoBody2"
24,2023-12-11 11:58:08.080629,628,417,9,000925_0.png,NoNose,NoNose
25,2023-12-11 11:58:09.086334,581,441,9,000927_0.png,NoNose,NoNose
26,2023-12-11 12:00:52.657866,583,496,4,001269_1.png,NoAnomaly,NoAnomaly
27,2023-12-11 12:00:54.549778,565,459,4,001273_1.png,NoAnomaly,NoAnomaly
28,2023-12-11 12:00:58.199679,618,471,4,001281_1.png,NoAnomaly,NoAnomaly
29,2023-12-11 12:01:00.975080,639,442,4,001287_1.png,NoAnomaly,"NoNose,NoBody2"
30,2023-12-11 12:01:01.437702,616,456,4,001288_1.png,NoAnomaly,NoAnomaly
31,2023-12-11 12:01:03.338213,573,445,4,001292_1.png,NoAnomaly,NoAnomaly
32,2023-12-11 12:02:52.169193,630,355,9,001520_0.png,NoNose,NoNose
33,2023-12-11 12:02:54.011874,624,439,9,001524_0.png,NoNose,NoNose
34,2023-12-11 12:02:55.937999,600,453,9,001528_0.png,NoNose,NoNose
35,2023-12-11 12:02:57.791938,626,445,9,001532_0.png,NoNose,NoNose
36,2023-12-11 12:03:00.658244,651,430,9,001538_0.png,NoNose,NoNose
37,2023-12-11 12:03:01.119611,796,468,9,001539_0.png,NoNose,NoNose
38,2023-12-11 12:03:04.235120,627,419,9,001546_0.png,NoNose,NoNose
39,2023-12-11 12:05:46.774868,595,455,4,001889_1.png,NoAnomaly,NoAnomaly
40,2023-12-11 12:05:47.257254,592,435,4,001890_1.png,NoAnomaly,NoAnomaly
41,2023-12-11 12:05:48.730284,596,342,4,001893_1.png,NoAnomaly,NoAnomaly
42,2023-12-11 12:05:49.702058,479,433,4,001895_1.png,NoAnomaly,NoAnomaly
43,2023-12-11 12:05:50.671248,642,421,4,001897_1.png,NoAnomaly,NoAnomaly
44,2023-12-11 12:05:51.143120,618,444,4,001898_1.png,NoAnomaly,NoAnomaly
45,2023-12-11 12:05:53.045402,659,504,4,001902_1.png,NoAnomaly,NoAnomaly
46,2023-12-11 12:05:53.534085,521,460,4,001903_1.png,NoAnomaly,NoAnomaly
47,2023-12-11 12:05:55.892852,666,455,4,001908_1.png,NoAnomaly,NoAnomaly
48,2023-12-11 12:07:45.453331,760,421,9,002137_0.png,NoNose,"NoNose,NoBody2"
49,2023-12-11 12:07:46.393466,655,422,9,002139_0.png,NoNose,NoNose
50,2023-12-11 12:07:47.379208,564,465,9,002141_0.png,NoNose,NoNose
51,2023-12-11 12:07:47.877666,667,428,9,002142_0.png,NoNose,"NoNose,NoBody2"
52,2023-12-11 12:07:50.254390,588,456,9,002147_0.png,NoNose,NoNose
53,2023-12-11 12:07:52.604602,642,459,9,002152_0.png,NoNose,NoNose
54,2023-12-11 12:07:53.095891,603,459,9,002153_0.png,NoNose,NoNose
55,2023-12-11 12:07:58.407454,663,450,9,002164_0.png,NoNose,NoNose
56,2023-12-11 12:10:45.176616,514,461,4,002514_1.png,NoAnomaly,NoAnomaly
57,2023-12-11 12:10:49.340339,583,278,4,002523_1.png,NoAnomaly,NoAnomaly
58,2023-12-11 12:10:49.730317,599,274,4,002524_1.png,NoAnomaly,NoNose
59,2023-12-11 12:12:41.079333,631,442,9,002757_0.png,NoNose,NoNose
60,2023-12-11 12:12:45.792372,577,420,9,002767_0.png,NoNose,NoNose
61,2023-12-11 12:12:46.258421,607,449,9,002768_0.png,NoNose,"NoNose,NoBody2"
62,2023-12-11 12:12:54.309791,638,438,9,002785_0.png,NoNose,NoNose
63,2023-12-11 12:15:46.375267,612,417,4,003146_1.png,NoAnomaly,NoAnomaly
64,2023-12-11 12:15:46.839402,566,425,4,003147_1.png,NoAnomaly,NoAnomaly
65,2023-12-11 12:17:38.434513,614,412,9,003381_0.png,NoNose,NoNose
66,2023-12-11 12:17:38.955098,607,454,9,003382_0.png,NoNose,NoNose
67,2023-12-11 12:17:43.750062,598,443,9,003392_0.png,NoNose,NoNose
68,2023-12-11 12:17:44.255756,628,437,9,003393_0.png,NoNose,NoNose
69,2023-12-11 12:17:44.732843,619,454,9,003394_0.png,NoNose,"NoNose,NoBody2"
70,2023-12-11 12:17:46.178994,686,447,9,003397_0.png,NoNose,NoNose
71,2023-12-11 12:17:48.102250,655,304,9,003401_0.png,NoNose,NoNose
72,2023-12-11 12:17:48.574458,645,461,9,003402_0.png,NoNose,NoNose
73,2023-12-11 12:17:49.500188,603,417,9,003404_0.png,NoNose,NoNose
74,2023-12-11 12:20:33.322863,595,455,4,003735_1.png,NoAnomaly,NoAnomaly
75,2023-12-11 12:20:33.790524,704,448,4,003736_1.png,NoAnomaly,NoAnomaly
76,2023-12-11 12:20:34.279786,549,456,4,003737_1.png,NoAnomaly,NoAnomaly
77,2023-12-11 12:20:37.734790,571,418,4,003744_1.png,NoAnomaly,NoAnomaly
78,2023-12-11 12:20:38.215418,579,387,4,003745_1.png,NoAnomaly,NoAnomaly
79,2023-12-11 12:20:39.177396,608,425,4,003747_1.png,NoAnomaly,NoAnomaly
80,2023-12-11 12:20:42.129377,612,442,4,003753_1.png,NoAnomaly,NoAnomaly
81,2023-12-11 12:20:43.622953,656,471,4,003756_1.png,NoAnomaly,NoAnomaly
82,2023-12-11 12:22:29.376667,629,433,9,003971_0.png,NoNose,NoNose
83,2023-12-11 12:22:29.871310,694,387,9,003972_0.png,NoNose,NoNose
84,2023-12-11 12:22:31.814843,604,394,9,003976_0.png,NoNose,NoNose
85,2023-12-11 12:22:33.278531,629,417,9,003979_0.png,NoNose,"NoNose,NoBody2"
86,2023-12-11 12:22:38.721105,751,407,9,003990_0.png,NoNose,NoNose
87,2023-12-11 12:25:29.748449,652,462,4,004335_1.png,NoAnomaly,NoAnomaly
88,2023-12-11 12:25:30.742872,602,490,4,004337_1.png,NoAnomaly,NoAnomaly
89,2023-12-11 12:25:31.228175,605,257,4,004338_1.png,NoAnomaly,NoAnomaly
90,2023-12-11 12:25:35.748134,551,445,4,004347_1.png,NoAnomaly,"NoNose,NoBody2"
91,2023-12-11 12:25:36.787828,596,322,4,004349_1.png,NoAnomaly,NoAnomaly
92,2023-12-11 12:25:39.727287,695,300,4,004355_1.png,NoAnomaly,NoAnomaly
93,2023-12-11 12:27:24.845923,613,400,9,004569_0.png,NoNose,NoNose
94,2023-12-11 12:27:25.349200,773,440,9,004570_0.png,NoNose,NoNose
95,2023-12-11 12:27:27.331579,650,437,9,004574_0.png,NoNose,NoNose
96,2023-12-11 12:27:27.815161,606,441,9,004575_0.png,NoNose,"NoNose,NoBody2"
97,2023-12-11 12:27:29.765107,611,374,9,004579_0.png,NoNose,NoNose
98,2023-12-11 12:27:30.278194,641,451,9,004580_0.png,NoNose,"NoNose,NoBody2"
99,2023-12-11 12:27:33.254746,643,459,9,004586_0.png,NoNose,NoNose
100,2023-12-11 12:27:34.225003,832,454,9,004588_0.png,NoNose,NoNose
101,2023-12-11 12:27:35.709554,612,454,9,004591_0.png,NoNose,NoNose
102,2023-12-11 12:27:38.609270,591,435,9,004597_0.png,NoNose,NoNose
